domain,condition,conversation_id,step_index,delta,direction,directional_gain
photoshop,anchored,photoshop_anchored_000,1,0.17588163455183198,-1.0,-0.17588163455183198
photoshop,anchored,photoshop_anchored_000,2,-2.1106395159614344,1.0,-2.1106395159614344
photoshop,anchored,photoshop_anchored_000,3,0.7618264126143808,-1.0,-0.7618264126143808
photoshop,anchored,photoshop_anchored_000,4,0.39739294744548803,1.0,0.39739294744548803
photoshop,anchored,photoshop_anchored_000,5,0.5276896890853032,-1.0,-0.5276896890853032
photoshop,anchored,photoshop_anchored_000,6,-0.21695122790800403,1.0,-0.21695122790800403
photoshop,anchored,photoshop_anchored_001,1,0.0663167089460951,-1.0,-0.0663167089460951
photoshop,anchored,photoshop_anchored_001,2,-0.3444548642277665,1.0,-0.3444548642277665
photoshop,anchored,photoshop_anchored_001,3,-0.5113897840599569,-1.0,0.5113897840599569
photoshop,anchored,photoshop_anchored_001,4,-0.126782737237485,1.0,-0.126782737237485
photoshop,anchored,photoshop_anchored_001,5,0.13239683715207823,-1.0,-0.13239683715207823
photoshop,anchored,photoshop_anchored_001,6,1.7182010066174258,1.0,1.7182010066174258
photoshop,anchored,photoshop_anchored_002,1,-1.6101064828981237,-1.0,1.6101064828981237
photoshop,anchored,photoshop_anchored_002,2,0.4632391205821431,1.0,0.4632391205821431
photoshop,anchored,photoshop_anchored_002,3,-0.5750745147059977,-1.0,0.5750745147059977
photoshop,anchored,photoshop_anchored_002,4,0.16601003730461805,1.0,0.16601003730461805
photoshop,anchored,photoshop_anchored_002,5,0.27939179227566946,-1.0,-0.27939179227566946
photoshop,anchored,photoshop_anchored_002,6,-0.053464828758773564,1.0,-0.053464828758773564
photoshop,anchored,photoshop_anchored_003,1,-0.5501089436772294,-1.0,0.5501089436772294
photoshop,anchored,photoshop_anchored_003,2,-0.158702389749664,1.0,-0.158702389749664
photoshop,anchored,photoshop_anchored_003,3,0.3925418393870441,-1.0,-0.3925418393870441
photoshop,anchored,photoshop_anchored_003,4,-0.16785009332978995,1.0,-0.16785009332978995
photoshop,anchored,photoshop_anchored_003,5,0.16785009332978995,-1.0,-0.16785009332978995
photoshop,anchored,photoshop_anchored_003,6,0.002725602912866165,1.0,0.002725602912866165
photoshop,anchored,photoshop_anchored_004,1,-1.3167360353964752,-1.0,1.3167360353964752
photoshop,anchored,photoshop_anchored_004,2,0.9246043128253714,1.0,0.9246043128253714
photoshop,anchored,photoshop_anchored_004,3,0.0,-1.0,-0.0
photoshop,anchored,photoshop_anchored_004,4,-0.7133056462908496,1.0,-0.7133056462908496
photoshop,anchored,photoshop_anchored_004,5,0.5351377913368691,-1.0,-0.5351377913368691
photoshop,anchored,photoshop_anchored_004,6,-0.2492963819483267,1.0,-0.2492963819483267
photoshop,anchored,photoshop_anchored_005,1,-0.7864769256284485,-1.0,0.7864769256284485
photoshop,anchored,photoshop_anchored_005,2,-0.42574486864804606,1.0,-0.42574486864804606
photoshop,anchored,photoshop_anchored_005,3,-0.1518284882847771,-1.0,0.1518284882847771
photoshop,anchored,photoshop_anchored_005,4,-0.17129255336387378,1.0,-0.17129255336387378
photoshop,anchored,photoshop_anchored_005,5,0.8805682321968439,-1.0,-0.8805682321968439
photoshop,anchored,photoshop_anchored_005,6,-0.6236505991663635,1.0,-0.6236505991663635
photoshop,anchored,photoshop_anchored_006,1,0.8966702338328466,-1.0,-0.8966702338328466
photoshop,anchored,photoshop_anchored_006,2,1.2934427279472418,1.0,1.2934427279472418
photoshop,anchored,photoshop_anchored_006,3,0.0,-1.0,-0.0
photoshop,anchored,photoshop_anchored_006,4,0.18838894319534516,1.0,0.18838894319534516
photoshop,anchored,photoshop_anchored_006,5,0.25279644856378436,-1.0,-0.25279644856378436
photoshop,anchored,photoshop_anchored_006,6,-0.1423254678584298,1.0,-0.1423254678584298
photoshop,anchored,photoshop_anchored_007,1,0.3492683567390462,-1.0,-0.3492683567390462
photoshop,anchored,photoshop_anchored_007,2,0.2117437364258093,1.0,0.2117437364258093
photoshop,anchored,photoshop_anchored_007,3,0.3330186024402491,-1.0,-0.3330186024402491
photoshop,anchored,photoshop_anchored_007,4,0.014319364098779874,1.0,0.014319364098779874
photoshop,anchored,photoshop_anchored_007,5,0.13538882828998855,-1.0,-0.13538882828998855
photoshop,anchored,photoshop_anchored_007,6,-0.14227665088010621,1.0,-0.14227665088010621
photoshop,anchored,photoshop_anchored_008,1,-3.562164150883395,-1.0,3.562164150883395
photoshop,anchored,photoshop_anchored_008,2,-0.2215234976852507,1.0,-0.2215234976852507
